Size	Bubble Sort	Heap Sort	Merge Sort	Quick Sort	Insertion Sort	Selection Sort
1	0	0	0	0	0	0
501	0.009	0.016	0	0.001	0.004	0.016
1001	0.031	0.019	0	0	0.016	0.019
1501	0.071	0.068	0	0.002	0.031	0.068
2001	0.152	0.094	0	0	0.067	0.094
2501	0.224	0.159	0.003	0.003	0.103	0.159
3001	0.332	0.267	0	0	0.147	0.267
3501	0.451	0.308	0.004	0	0.198	0.308
4001	0.57	0.37	0	0.016	0.272	0.37
4501	0.757	0.481	0.016	0	0.319	0.481
5001	0.914	0.585	0	0.016	0.408	0.585
5501	1.123	0.72	0.016	0	0.465	0.72
6001	1.305	0.862	0.016	0	0.57	0.862
6501	1.523	1.019	0.016	0	0.67	1.019
7001	1.88	1.197	0	0.016	0.778	1.197
7501	2.017	1.317	0.016	0	0.874	1.317
8001	2.353	1.496	0	0.016	1.045	1.496
